Id,name,sex,urban/rural,income,GPA,parents qualification,average attendance,dropout
1,Helenelizabeth,Female,rural,114586,3.8,High school,81,true
2,Othella,Female,rural,7449,1.9,illiterate,56,false
3,Sheryl,Female,urban,23284,3.3,illiterate,25,false
4,Karim,Male,rural,212267,8.8,Graduate,24,true
5,Lanny,Female,urban,585328,7.1,Graduate,20,false
6,Janina,Female,rural,353276,9.2,High school,64,false
7,Noemi,Female,urban,295700,4.2,Graduate,72,true
8,Pinchas,Male,urban,863305,3.4,High school,99,true
9,Damiano,Male,rural,77638,4.7,Graduate,55,false
10,Kimberlyn,Female,urban,826367,3.9,High school,35,true
11,Sawyer,Male,rural,791172,7.0,Graduate,100,false
12,Kipp,Female,urban,82335,0.3,High school,25,true
13,Giovanni,Male,rural,756637,1.6,High school,57,true
14,Ali,Female,urban,876729,9.8,illiterate,78,false
15,Haydon,Genderqueer,rural,5700,5.5,illiterate,12,false
16,Brad,Male,urban,72453,1.1,Graduate,48,false
17,Artie,Male,rural,250401,8.5,Graduate,6,false
18,Marylynne,Agender,urban,805382,8.0,Graduate,22,false
19,Page,Male,rural,264248,3.1,illiterate,39,true
20,Aldous,Male,urban,98906,0.7,High school,0,false
21,Hunfredo,Male,urban,629184,7.9,High school,96,true
22,Dayle,Female,rural,74552,1.9,illiterate,28,false
23,Nancee,Female,urban,800142,8.8,High school,13,true
24,Ceciley,Female,urban,196230,6.3,High school,95,false
25,Sayres,Polygender,urban,305768,5.2,illiterate,65,true
26,Mitzi,Female,urban,547682,4.6,illiterate,60,true
27,Ellie,Female,rural,813990,3.9,Graduate,89,false
28,Morgan,Male,rural,433437,0.1,illiterate,42,false
29,Courtney,Male,rural,776120,6.2,illiterate,66,true
30,Steffie,Female,urban,871103,0.1,High school,33,true
31,Petronia,Female,urban,201693,1.6,High school,62,false
32,Ranee,Female,urban,745155,2.2,High school,48,false
33,Cheryl,Female,urban,927923,0.3,Graduate,19,true
34,Darda,Bigender,urban,651629,5.3,illiterate,68,false
